Gating Intensity;Mean Without Localization;Std Without Localization;Mean With Localization;Std With Localization;Prior Mean;Prior Std
0.0;2.2824445754770712;0.0;2.2807042955905796;0.0;2.707698124493905;0.0
1.0;2.3186331772555198;0.0;2.3195512720251648;0.0;2.707698124493905;0.0
2.0;2.3568453216580427;0.0;2.3596525588085755;0.0;2.707698124493905;0.0
4.0;2.435731870325801;0.0;2.4390505116792722;0.0;2.707698124493905;0.0
8.0;2.552987428610717;0.0;2.5543356141708986;0.0;2.707698124493905;0.0
16.0;2.6562210999661175;0.0;2.656217334174505;0.0;2.707698124493905;0.0
