Realization FOPT   Percentile
olympus26	0.518794776768706	0.02
olympus40	0.5310831893546127	0.04
olympus4	0.5578860623603398	0.06
olympus28	0.5944337403884877	0.08
olympus39	0.6015636015850878	0.1
olympus22	0.6404863975068051	0.12
olympus5	0.6443270354852001	0.14
olympus18	0.6546498301626066	0.16
olympus15	0.6567085132410388	0.18
olympus41	0.6599257070791322	0.2
olympus31	0.6617877657233173	0.22
olympus16	0.6715483730601335	0.24
olympus50	0.6780121732638353	0.26
olympus1	0.678408000190425	0.28
olympus7	0.6828444682712403	0.3
olympus6	0.6828466944439716	0.32
olympus48	0.6937208136337568	0.34
olympus24	0.6955095121688519	0.36
olympus46	0.7344177164792498	0.38
olympus25	0.7486073833051371	0.4
olympus36	0.7496187051476376	0.42
olympus45	0.7553799106616879	0.44
olympus44	0.7569490943314346	0.46
olympus8	0.7613261988953706	0.48
olympus27	0.7729515883021112	0.5
olympus37	0.7776745487909511	0.52
olympus32	0.7814971636159415	0.54
olympus14	0.7995155272448246	0.56
olympus21	0.8060988393932581	0.58
olympus13	0.8095801378327893	0.6
olympus38	0.8199013192931512	0.62
olympus34	0.8324251261765201	0.64
olympus12	0.8340641077200467	0.66
olympus42	0.8390269630590226	0.68
olympus11	0.8410783222961504	0.7
olympus17	0.8457323609518356	0.72
olympus23	0.8480829464914839	0.74
olympus29	0.8522880282201241	0.76
olympus33	0.8541384968711311	0.78
olympus2	0.8649321992891932	0.8
olympus47	0.8668896078957352	0.82
olympus19	0.8672413400786163	0.84
olympus43	0.8761823082263098	0.86
olympus9	0.8819652804482733	0.88
olympus10	0.9282700462573262	0.9
olympus30	0.9487228280793483	0.92
olympus3	0.975974359093257	0.94
olympus20	0.9760647453904208	0.96
olympus35	0.9920606286892143	0.98
olympus49	1.0	1.0
