Gating Intensity;Mean Without Localization;Std Without Localization;Mean With Localization;Std With Localization
0.0;0.6260162601626016;0.0;0.6260162601626016;0.0
1.0;0.5311653116531165;0.0;0.5365853658536586;0.0
2.0;0.5609756097560976;0.0;0.5663956639566395;0.0
4.0;0.6341463414634146;0.0;0.6368563685636857;0.0
8.0;0.7262872628726287;0.0;0.7262872628726287;0.0
16.0;0.7994579945799458;0.0;0.8048780487804879;0.0
